area,price,longitude,latitude,legal,furniture,frontage,floor,bedroom,toilet
58.0,13.5,105.81260560893,20.9829307006149,1.0,2.0,3.3,5.0,5.0,4.0
33.0,7.81,105.806853156512,21.0493134287091,1.0,2.0,4.0,5.0,4.0,3.0
61.0,13.5,105.897735715635,21.0380460697572,1.0,2.0,,4.0,3.0,3.0
58.0,18.5,105.809602200479,21.0159705257874,,,,7.0,4.0,
39.0,7.9,105.835461262396,21.0209405580275,1.0,2.0,4.6,6.0,4.0,5.0
41.0,7.86,105.737703847905,21.043734374244,1.0,1.0,5.6,4.0,4.0,4.0
35.0,7.5,105.722054156563,20.9459593536374,1.0,2.0,4.0,5.0,3.0,4.0
36.0,7.6,105.79273700172,21.0187423595099,1.0,2.0,4.0,5.0,3.0,4.0
40.0,12.5,105.914973577991,21.0626343356135,1.0,2.0,3.5,5.0,5.0,4.0
85.0,17.5,105.836196083623,21.0560835669632,1.0,0.0,5.5,3.0,3.0,4.0
40.0,6.9,105.820816461784,20.9828064740714,1.0,,4.4,5.0,3.0,4.0
42.0,11.3,105.824052610954,21.008719867107,1.0,2.0,3.9,6.0,3.0,5.0
45.0,12.3,105.795118288015,21.0207915248396,1.0,2.0,6.8,6.0,3.0,3.0
60.0,27.5,105.76584381798,21.0386917609049,1.0,2.0,5.0,7.0,4.0,6.0
45.0,8.6,105.799400001962,21.0465279790596,1.0,1.0,4.0,6.0,4.0,4.0
70.0,13.8,105.841049711429,21.0022988998216,1.0,2.0,,5.0,5.0,5.0
134.0,62.8,105.816861780369,21.0125205641358,1.0,2.0,7.1,9.0,,9.0
51.0,9.88,105.818232560719,21.0080028190622,1.0,2.0,3.8,5.0,11.0,11.0
41.0,10.8,105.833783343865,21.0270152198975,1.0,2.0,5.0,5.0,4.0,4.0
48.0,9.6,105.768796488048,21.0134660692772,1.0,1.0,4.0,4.0,4.0,4.0
30.0,4.7,105.745960649121,21.0547438602476,1.0,1.0,3.5,5.0,3.0,4.0
80.0,16.8,105.779170516615,21.0408308870141,1.0,2.0,5.0,7.0,13.0,
36.0,5.15,105.773174146751,21.0803221998767,1.0,2.0,4.0,5.0,3.0,4.0
41.0,4.6,105.876100283354,21.052805128675,1.0,1.0,7.0,4.0,3.0,3.0
35.0,4.0,105.917766460693,21.0210426346243,1.0,2.0,4.0,4.0,4.0,3.0
34.0,5.62,105.768865690203,21.0304962100387,1.0,1.0,3.3,5.0,3.0,4.0
43.0,7.45,105.825239046731,21.0345969202679,1.0,2.0,4.0,6.0,4.0,5.0
36.0,5.15,105.773646147169,21.0807469580794,1.0,2.0,4.0,5.0,3.0,4.0
45.0,13.0,105.8412445,20.9916846,1.0,2.0,,7.0,5.0,6.0
34.0,5.8,105.866245963367,20.9881602958644,1.0,2.0,,5.0,4.0,
51.2,15.95,105.785436867079,20.9746795301492,1.0,2.0,6.2,7.0,4.0,
90.0,33.0,105.808321250926,21.0153757455088,1.0,2.0,,8.0,21.0,22.0
70.0,14.5,105.872362241294,21.0438173058529,,2.0,,6.0,,
36.0,7.6,105.810766368005,21.003379902831,1.0,0.0,3.4,5.0,5.0,3.0
75.0,8.2,105.871765675899,21.0469235437243,1.0,1.0,3.5,4.0,2.0,2.0
100.0,34.0,105.798684693007,21.027728239512,1.0,2.0,,8.0,14.0,14.0
50.0,8.6,105.844855948267,20.9909936115402,1.0,2.0,3.5,5.0,6.0,5.0
33.0,5.2,105.74400076517,20.9603067950965,1.0,2.0,3.5,5.0,3.0,4.0
38.0,6.1,105.812039328295,21.0029415575428,1.0,2.0,4.0,5.0,3.0,4.0
48.0,14.2,105.855459048629,21.0178388778674,1.0,2.0,4.0,5.0,4.0,4.0
73.0,11.0,105.843348273419,20.983496011026,1.0,2.0,,3.0,,
95.0,20.0,105.791494785689,21.0463233465015,1.0,2.0,,9.0,23.0,23.0
63.9,5.4,105.760101022246,20.9708337153743,1.0,2.0,,4.0,4.0,4.0
42.0,8.0,105.84956380124,21.0335239189717,1.0,2.0,,4.0,6.0,5.0
39.0,6.85,105.833907395676,21.0270193447528,1.0,2.0,,5.0,6.0,4.0
69.0,15.8,105.806069630431,21.0643750543946,1.0,2.0,6.0,4.0,6.0,3.0
55.0,4.5,105.764543940051,20.9401988755367,1.0,1.0,4.0,4.0,3.0,3.0
34.0,6.5,105.749819749987,21.0039495176261,1.0,1.0,4.8,6.0,3.0,5.0
43.0,10.9,105.732631543855,21.0353478231046,1.0,2.0,3.5,5.0,3.0,4.0
51.0,8.0,105.8211188,21.0071949,1.0,0.0,4.15,2.0,2.0,1.0
32.3,3.3,105.718121821074,20.8524673714,1.0,1.0,6.0,5.0,4.0,4.0
63.0,14.0,105.794705365745,21.0231587735689,1.0,2.0,6.5,4.0,7.0,4.0
53.0,10.9,105.827256167737,20.9982815903325,1.0,2.0,4.5,4.0,5.0,3.0
31.6,6.2,105.773878642435,20.9793835876756,1.0,1.0,,4.0,3.0,3.0
52.0,23.5,105.795634822307,21.0484415423536,1.0,1.0,5.0,4.0,4.0,4.0
45.0,9.2,105.810147520682,21.016199033376,1.0,2.0,4.0,4.0,4.0,4.0
46.0,7.8,105.799123579696,20.9850980090451,1.0,2.0,,5.0,10.0,10.0
28.0,6.35,105.825497437046,21.0348647281014,1.0,2.0,5.0,4.0,3.0,4.0
68.0,29.5,105.809907749121,21.0159641406848,1.0,2.0,5.5,8.0,8.0,9.0
95.0,35.0,105.8099311,21.0190278,1.0,2.0,7.0,8.0,8.0,8.0
300.0,135.0,105.828024388839,21.0666531527448,1.0,0.0,9.0,3.0,,
34.0,3.55,105.721863263005,20.9984639317148,1.0,2.0,3.8,4.0,3.0,3.0
100.0,22.0,105.796059506285,20.9787663031395,1.0,2.0,,7.0,,
55.0,6.4,105.839144839959,21.0093169846513,1.0,2.0,4.0,5.0,3.0,2.0
80.0,24.5,105.865522663256,21.0030679151817,1.0,2.0,,4.0,4.0,4.0
40.0,7.0,105.822843441552,21.0055166068661,1.0,1.0,3.8,3.0,4.0,4.0
70.0,20.0,105.865951040825,21.0029454248309,1.0,2.0,5.0,4.0,4.0,4.0
90.0,26.5,105.799644147181,21.0110527069419,1.0,1.0,5.0,,5.0,
43.0,6.5,105.877892307718,20.9891426654068,1.0,2.0,,3.0,4.0,3.0
75.0,27.9,105.8275913,21.0255158,1.0,2.0,6.0,8.0,8.0,10.0
